Policy Area,Dataset,Variable,Year,Amount,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Housing & Real Estate,Rent Price,Median Rent Price,2010,1044,"Census Tract 1011.10, Los Angeles County, California",101110,Tujunga,1400000US06037101110,"(34.2595555, -118.293602)",Median_Rent_Price_2010_1400000US06037101110,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1370,"Census Tract 1011.22, Los Angeles County, California",101122,Tujunga,1400000US06037101122,"(34.267357, -118.29024)",Median_Rent_Price_2010_1400000US06037101122,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1113,"Census Tract 1012.10, Los Angeles County, California",101210,Tujunga,1400000US06037101210,"(34.251998, -118.2926875)",Median_Rent_Price_2010_1400000US06037101210,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,899,"Census Tract 1012.20, Los Angeles County, California",101220,Tujunga,1400000US06037101220,"(34.2511895, -118.281014)",Median_Rent_Price_2010_1400000US06037101220,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1211,"Census Tract 1013, Los Angeles County, California",101300,Tujunga,1400000US06037101300,"(34.2455945, -118.271731)",Median_Rent_Price_2010_1400000US06037101300,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1196,"Census Tract 1014, Los Angeles County, California",101400,Tujunga,1400000US06037101400,"(34.244255, -118.296428)",Median_Rent_Price_2010_1400000US06037101400,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1101,"Census Tract 1021.03, Los Angeles County, California",102103,Shadow Hills,1400000US06037102103,"(34.224155, -118.354339)",Median_Rent_Price_2010_1400000US06037102103,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1021.04, Los Angeles County, California",102104,Shadow Hills,1400000US06037102104,"(34.216189, -118.3456235)",Median_Rent_Price_2010_1400000US06037102104,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1058,"Census Tract 1021.05, Los Angeles County, California",102105,Sun Valley,1400000US06037102105,"(34.210852, -118.3480495)",Median_Rent_Price_2010_1400000US06037102105,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,629,"Census Tract 1021.07, Los Angeles County, California",102107,Shadow Hills,1400000US06037102107,"(34.2412955, -118.3292705)",Median_Rent_Price_2010_1400000US06037102107,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1031.01, Los Angeles County, California",103101,Sunland,1400000US06037103101,"(34.274431, -118.30714)",Median_Rent_Price_2010_1400000US06037103101,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1134,"Census Tract 1031.02, Los Angeles County, California",103102,Sunland,1400000US06037103102,"(34.262834, -118.30683)",Median_Rent_Price_2010_1400000US06037103102,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,994,"Census Tract 1032, Los Angeles County, California",103200,Lake View Terrace,1400000US06037103200,"(34.2745565, -118.3439025)",Median_Rent_Price_2010_1400000US06037103200,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1838,"Census Tract 1033, Los Angeles County, California",103300,Shadow Hills,1400000US06037103300,"(34.255439, -118.3527775)",Median_Rent_Price_2010_1400000US06037103300,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1047,"Census Tract 1034, Los Angeles County, California",103400,Sunland,1400000US06037103400,"(34.253933, -118.3147245)",Median_Rent_Price_2010_1400000US06037103400,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1488,"Census Tract 1041.03, Los Angeles County, California",104103,Lake View Terrace,1400000US06037104103,"(34.2819045, -118.3918905)",Median_Rent_Price_2010_1400000US06037104103,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,789,"Census Tract 1041.05, Los Angeles County, California",104105,Pacoima,1400000US06037104105,"(34.276146, -118.404645)",Median_Rent_Price_2010_1400000US06037104105,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1140,"Census Tract 1041.08, Los Angeles County, California",104108,Pacoima,1400000US06037104108,"(34.271671, -118.397614)",Median_Rent_Price_2010_1400000US06037104108,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1154,"Census Tract 1041.24, Los Angeles County, California",104124,Lopez/Kagel Canyons,1400000US06037104124,"(34.287866, -118.376208)",Median_Rent_Price_2010_1400000US06037104124,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,826,"Census Tract 1042.01, Los Angeles County, California",104201,Pacoima,1400000US06037104201,"(34.2867415, -118.4160805)",Median_Rent_Price_2010_1400000US06037104201,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1009,"Census Tract 1042.03, Los Angeles County, California",104203,Pacoima,1400000US06037104203,"(34.279058, -118.411554)",Median_Rent_Price_2010_1400000US06037104203,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1154,"Census Tract 1042.04, Los Angeles County, California",104204,Lake View Terrace,1400000US06037104204,"(34.2886315, -118.396898)",Median_Rent_Price_2010_1400000US06037104204,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1531,"Census Tract 1043.10, Los Angeles County, California",104310,Pacoima,1400000US06037104310,"(34.2762555, -118.4293915)",Median_Rent_Price_2010_1400000US06037104310,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1138,"Census Tract 1043.20, Los Angeles County, California",104320,Pacoima,1400000US06037104320,"(34.27316, -118.4202235)",Median_Rent_Price_2010_1400000US06037104320,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,813,"Census Tract 1044.01, Los Angeles County, California",104401,Pacoima,1400000US06037104401,"(34.2670615, -118.433071)",Median_Rent_Price_2010_1400000US06037104401,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1176,"Census Tract 1044.03, Los Angeles County, California",104403,Pacoima,1400000US06037104403,"(34.2589085, -118.4345385)",Median_Rent_Price_2010_1400000US06037104403,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,977,"Census Tract 1044.04, Los Angeles County, California",104404,Pacoima,1400000US06037104404,"(34.2639205, -118.4286915)",Median_Rent_Price_2010_1400000US06037104404,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1314,"Census Tract 1045, Los Angeles County, California",104500,Pacoima,1400000US06037104500,"(34.25551, -118.4257485)",Median_Rent_Price_2010_1400000US06037104500,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1277,"Census Tract 1046.10, Los Angeles County, California",104610,Pacoima,1400000US06037104610,"(34.2604335, -118.4189955)",Median_Rent_Price_2010_1400000US06037104610,01/01/2010
